BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
BROOKLYN,40.6335808,-74.0048206,15,1,10,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BRONX,40.8236847,-73.8364215,12,5,2,1,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.671627,-73.96263,18,5,12,1,1,Driver Inattention/Distraction,Bike,1
BROOKLYN,40.638428,-73.91275,19,0,10,0,0,Unspecified,Sedan,0
QUEENS,40.746555,-73.8262,12,2,10,0,0,Driver Inattention/Distraction,Pick-up Truck,0
MANHATTAN,40.7724202,-73.9787241,6,3,4,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,1
BROOKLYN,40.65725,-73.89291,8,1,1,0,1,Brakes Defective,Station Wagon/Sport Utility Vehicle,0
,,,21,4,10,0,0,Driver Inattention/Distraction,UNKNOWN,0
,,,14,2,5,0,0,Turning Improperly,,0
MANHATTAN,40.7410552,-73.9978601,11,3,11,0,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.7127695,-73.94748,17,0,5,0,1,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,1
QUEENS,40.7498452,-73.8833811,21,3,1,0,0,View Obstructed/Limited,PASSENGER VEHICLE,0
QUEENS,40.763493,-73.914604,15,5,1,1,0,Oversized Vehicle,Station Wagon/Sport Utility Vehicle,0
,40.655334,-73.93077,2,6,5,1,0,Other Vehicular,Sedan,0
BROOKLYN,40.70604,-73.94129,11,5,4,1,0,Driver Inattention/Distraction,,0
BROOKLYN,40.70791,-73.94501,17,5,12,1,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
MANHATTAN,40.7939814,-73.9722814,18,5,2,1,1,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.64831,-73.89748,18,2,11,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.7007255,-73.9419319,14,3,3,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
,40.77761,-73.74365,19,5,2,1,0,Driver Inattention/Distraction,Sedan,0
QUEENS,40.7538923,-73.9165044,22,2,10,0,0,Unspecified,UNKNOWN,1
,40.731995,-73.99022,21,5,4,1,0,Following Too Closely,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.608814,-73.973,13,0,7,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
,40.737907,-73.877174,16,0,12,0,1,Driver Inattention/Distraction,,0
MANHATTAN,40.77496,-73.9589,13,3,3,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
,40.8398,-73.928665,1,4,9,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
,40.716015,-74.00883,11,1,5,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.75979,-73.98792,17,3,6,0,1,Unspecified,Bike,1
BRONX,40.80988,-73.90308,16,5,9,1,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.821169,-73.9135549,16,6,7,1,1,Traffic Control Disregarded,PASSENGER VEHICLE,0
QUEENS,40.708447,-73.8002203,20,5,8,1,0,Driver Inattention/Distraction,UNKNOWN,1
BROOKLYN,40.640556,-73.976875,9,0,2,0,1,Driver Inattention/Distraction,Taxi,0
MANHATTAN,40.754317,-73.9868654,17,5,10,1,1,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.6807878,-73.919574,21,1,12,0,0,Unspecified,SPORT UTILITY / STATION WAGON,1
MANHATTAN,40.756763,-73.96716,9,3,5,0,1,Driver Inattention/Distraction,Bike,1
BROOKLYN,40.61617,-73.954587,14,4,10,0,0,Unspecified,LIVERY VEHICLE,0
MANHATTAN,40.8184244,-73.9451422,13,0,7,0,0,Unspecified,TAXI,1
